               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.023589,            0.044208,            0.011296,             0.97076,             0.93516,             0.95612,               0.724,            0.021528,            0.030007,           0.0072955,            0.004126,            0.004126,            0.004126
                  91,            0.023476,            0.043876,            0.011133,             0.96983,             0.93594,             0.95665,             0.72511,             0.02152,            0.030023,           0.0073233,             0.00406,             0.00406,             0.00406
                  92,            0.023317,            0.044066,             0.01124,              0.9693,             0.93538,             0.95674,             0.72493,            0.021524,             0.03002,            0.007319,            0.003994,            0.003994,            0.003994
                  93,            0.023296,            0.043791,            0.011033,             0.96962,              0.9354,             0.95684,             0.72532,            0.021519,            0.030047,           0.0072966,            0.003928,            0.003928,            0.003928
                  94,             0.02335,            0.043838,            0.011237,              0.9698,             0.93591,             0.95675,             0.72513,            0.021514,            0.030058,           0.0073428,            0.003862,            0.003862,            0.003862
                  95,            0.023282,            0.043343,            0.010941,             0.97063,             0.93492,             0.95694,             0.72546,             0.02151,            0.030066,           0.0073462,            0.003796,            0.003796,            0.003796
                  96,            0.023134,            0.042978,            0.010955,             0.97103,             0.93398,             0.95682,             0.72476,            0.021513,            0.030076,             0.00737,             0.00373,             0.00373,             0.00373
                  97,            0.023098,            0.043421,            0.010836,             0.97056,             0.93417,             0.95691,             0.72446,             0.02152,            0.030091,           0.0073674,            0.003664,            0.003664,            0.003664
                  98,            0.022965,            0.043147,            0.010741,             0.97218,             0.93336,             0.95701,             0.72393,            0.021526,            0.030104,           0.0073723,            0.003598,            0.003598,            0.003598
                  99,            0.022943,            0.043126,            0.010832,             0.97301,             0.93306,             0.95728,              0.7241,            0.021533,            0.030114,           0.0073867,            0.003532,            0.003532,            0.003532
                 100,            0.022879,            0.043037,            0.010569,             0.97268,              0.9334,             0.95733,             0.72445,            0.021538,            0.030116,           0.0074113,            0.003466,            0.003466,            0.003466
                 101,            0.022855,            0.042864,            0.010747,             0.97316,             0.93356,             0.95723,             0.72465,            0.021537,            0.030126,           0.0074178,              0.0034,              0.0034,              0.0034
                 102,            0.022774,             0.04276,            0.010579,             0.97075,             0.93392,             0.95744,             0.72448,            0.021522,             0.03014,           0.0074241,            0.003334,            0.003334,            0.003334
                 103,            0.022696,            0.042637,            0.010641,             0.97095,             0.93394,             0.95751,             0.72468,            0.021515,            0.030147,           0.0074129,            0.003268,            0.003268,            0.003268
                 104,            0.022672,            0.042641,            0.010705,             0.97034,             0.93456,              0.9574,             0.72459,            0.021516,            0.030167,             0.00741,            0.003202,            0.003202,            0.003202
                 105,            0.022609,             0.04256,            0.010682,             0.97057,             0.93429,             0.95733,              0.7247,            0.021521,            0.030179,           0.0074115,            0.003136,            0.003136,            0.003136
                 106,             0.02264,            0.042285,             0.01059,             0.97056,             0.93462,             0.95736,             0.72505,            0.021521,            0.030186,           0.0074259,             0.00307,             0.00307,             0.00307
                 107,            0.022372,            0.042168,            0.010351,             0.97064,             0.93453,             0.95748,             0.72557,            0.021517,            0.030196,           0.0074381,            0.003004,            0.003004,            0.003004
                 108,            0.022471,            0.042061,            0.010312,             0.97007,             0.93467,             0.95754,             0.72554,            0.021516,            0.030209,           0.0074575,            0.002938,            0.002938,            0.002938
                 109,            0.022486,            0.042389,             0.01026,             0.96971,             0.93465,             0.95752,             0.72556,            0.021514,             0.03022,            0.007474,            0.002872,            0.002872,            0.002872
                 110,            0.022295,            0.042034,            0.010414,              0.9705,             0.93503,             0.95743,              0.7254,            0.021515,            0.030232,           0.0074773,            0.002806,            0.002806,            0.002806
                 111,              0.0222,            0.041608,             0.01028,             0.96963,             0.93501,              0.9575,             0.72525,            0.021518,            0.030241,           0.0074841,             0.00274,             0.00274,             0.00274
                 112,            0.022119,            0.041859,            0.010336,             0.96989,             0.93538,             0.95759,              0.7251,             0.02152,            0.030253,           0.0075017,            0.002674,            0.002674,            0.002674
                 113,             0.02197,            0.041116,            0.010354,             0.96986,             0.93533,             0.95774,             0.72549,            0.021522,            0.030268,           0.0075122,            0.002608,            0.002608,            0.002608
                 114,            0.022114,            0.041498,           0.0099935,             0.97011,             0.93512,             0.95766,             0.72554,            0.021527,            0.030281,           0.0075234,            0.002542,            0.002542,            0.002542
                 115,            0.021973,            0.041619,           0.0099722,             0.97011,             0.93563,             0.95758,             0.72568,            0.021527,            0.030291,           0.0075429,            0.002476,            0.002476,            0.002476
                 116,            0.022003,            0.041402,            0.010117,              0.9699,             0.93595,             0.95745,             0.72563,            0.021526,            0.030302,           0.0075589,             0.00241,             0.00241,             0.00241
                 117,            0.021836,            0.041405,           0.0099703,             0.96967,             0.93612,             0.95758,             0.72564,            0.021528,            0.030315,           0.0075726,            0.002344,            0.002344,            0.002344
                 118,             0.02179,            0.041034,           0.0098912,             0.96993,             0.93595,             0.95766,             0.72517,            0.021533,            0.030325,           0.0075866,            0.002278,            0.002278,            0.002278
                 119,            0.021701,            0.041184,           0.0098501,             0.97022,             0.93564,             0.95759,             0.72587,             0.02154,            0.030339,            0.007597,            0.002212,            0.002212,            0.002212
                 120,            0.021711,            0.041165,           0.0098155,             0.97032,             0.93559,              0.9576,             0.72536,            0.021545,            0.030355,           0.0076072,            0.002146,            0.002146,            0.002146
                 121,            0.021455,            0.040945,           0.0095854,             0.97054,             0.93564,             0.95755,             0.72535,            0.021549,            0.030371,            0.007616,             0.00208,             0.00208,             0.00208
                 122,            0.021443,            0.040441,           0.0096806,             0.97033,             0.93555,              0.9575,             0.72484,            0.021554,            0.030387,           0.0076274,            0.002014,            0.002014,            0.002014
                 123,            0.021428,            0.040825,           0.0095248,             0.96992,             0.93566,             0.95749,             0.72431,            0.021558,            0.030402,           0.0076352,            0.001948,            0.001948,            0.001948
                 124,            0.021338,            0.040139,           0.0096515,             0.97023,             0.93547,             0.95763,             0.72422,            0.021562,            0.030417,           0.0076459,            0.001882,            0.001882,            0.001882
                 125,            0.021222,            0.040358,            0.009592,             0.97105,             0.93467,             0.95774,             0.72455,            0.021562,             0.03043,           0.0076549,            0.001816,            0.001816,            0.001816
                 126,            0.021229,            0.040248,            0.009494,             0.97166,             0.93462,              0.9578,             0.72491,            0.021567,            0.030442,           0.0076608,             0.00175,             0.00175,             0.00175
                 127,            0.021141,            0.040036,           0.0092113,             0.97307,             0.93475,             0.95772,             0.72501,            0.021569,            0.030455,           0.0076716,            0.001684,            0.001684,            0.001684
                 128,            0.021085,            0.039675,           0.0092688,             0.97326,             0.93453,             0.95792,             0.72505,            0.021575,             0.03047,           0.0076847,            0.001618,            0.001618,            0.001618
                 129,            0.021017,            0.039735,           0.0093497,             0.97352,             0.93422,             0.95791,             0.72508,             0.02158,            0.030481,             0.00769,            0.001552,            0.001552,            0.001552
                 130,            0.020974,            0.039556,           0.0094154,             0.97358,             0.93423,             0.95793,             0.72475,            0.021584,            0.030497,           0.0076996,            0.001486,            0.001486,            0.001486
                 131,             0.02074,            0.039647,           0.0091364,             0.97338,             0.93421,             0.95785,             0.72475,            0.021591,            0.030515,            0.007709,             0.00142,             0.00142,             0.00142
                 132,            0.020846,            0.039488,           0.0091432,             0.97315,             0.93456,              0.9579,              0.7246,            0.021595,             0.03053,           0.0077193,            0.001354,            0.001354,            0.001354
                 133,             0.02076,            0.039496,           0.0091107,             0.97401,             0.93443,             0.95809,             0.72478,            0.021598,            0.030545,           0.0077257,            0.001288,            0.001288,            0.001288
                 134,            0.020592,            0.039044,           0.0089679,             0.97368,             0.93477,             0.95806,             0.72509,            0.021602,            0.030555,           0.0077301,            0.001222,            0.001222,            0.001222
                 135,            0.020612,            0.039503,           0.0091419,             0.97343,              0.9347,             0.95809,             0.72508,            0.021607,            0.030574,            0.007744,            0.001156,            0.001156,            0.001156
                 136,             0.02046,            0.039242,           0.0088085,             0.97232,             0.93481,             0.95817,             0.72532,            0.021611,            0.030587,            0.007762,             0.00109,             0.00109,             0.00109
                 137,            0.020387,            0.038864,           0.0089008,             0.97195,             0.93501,             0.95819,             0.72517,            0.021615,            0.030605,           0.0077726,            0.001024,            0.001024,            0.001024
                 138,            0.020401,            0.038869,           0.0088998,             0.97149,             0.93507,             0.95827,             0.72521,            0.021619,            0.030627,            0.007788,            0.000958,            0.000958,            0.000958
                 139,             0.02021,            0.038178,           0.0086788,             0.97162,             0.93479,             0.95827,             0.72556,            0.021622,            0.030642,            0.007802,            0.000892,            0.000892,            0.000892
                 140,            0.020053,            0.038146,           0.0084422,             0.97074,             0.93603,             0.95834,             0.72547,            0.021623,             0.03066,           0.0078114,            0.000826,            0.000826,            0.000826
                 141,            0.020171,            0.038695,           0.0086115,             0.97089,             0.93557,             0.95834,             0.72533,            0.021625,            0.030675,           0.0078247,             0.00076,             0.00076,             0.00076
                 142,            0.020056,            0.038229,            0.008572,              0.9716,             0.93536,             0.95835,             0.72546,            0.021626,             0.03069,           0.0078349,            0.000694,            0.000694,            0.000694
                 143,            0.020016,            0.038231,           0.0087579,             0.97095,             0.93587,             0.95834,             0.72544,             0.02163,            0.030707,           0.0078439,            0.000628,            0.000628,            0.000628
                 144,            0.020005,            0.038432,           0.0085473,             0.97082,             0.93594,             0.95829,             0.72513,            0.021632,            0.030727,           0.0078588,            0.000562,            0.000562,            0.000562
                 145,            0.019856,            0.037803,           0.0084974,             0.97131,             0.93454,             0.95823,             0.72542,            0.021633,            0.030746,           0.0078726,            0.000496,            0.000496,            0.000496
                 146,            0.019838,            0.037899,           0.0086098,             0.97137,             0.93437,             0.95823,             0.72509,            0.021637,            0.030768,           0.0078842,             0.00043,             0.00043,             0.00043
                 147,            0.019761,            0.037683,           0.0085948,             0.97137,             0.93426,              0.9582,             0.72509,            0.021642,            0.030784,           0.0078956,            0.000364,            0.000364,            0.000364
                 148,             0.01973,            0.037922,            0.008374,             0.97262,             0.93264,             0.95823,             0.72552,            0.021646,            0.030808,           0.0079018,            0.000298,            0.000298,            0.000298
                 149,            0.019624,            0.037427,           0.0083451,             0.97265,             0.93256,             0.95817,             0.72544,            0.021649,            0.030828,           0.0079138,            0.000232,            0.000232,            0.000232
